,Ortho-Specialist Name,Ratings,Address,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,My Ortho Clinic: Dr Mohit Madan,4.3,Ghaziabad,407,302,427,448,362,442,6
1,Dr. Akhilesh Yadav- Center For Knee And Hip Care,4.8,Ghaziabad,329,373,264,315,276,305,0
2,Garg Joint Care Clinic - Dr. Uttam Garg,4.6,Lucknow,110,127,119,108,101,145,88
3,We Care Ortho & Wellness Clinic: Dr Sachin Singh,4.6,Ghaziabad,264,269,277,203,277,288,120
4,Dr. Pradeep Rajput Orthopaedic & Trauma Clinic,5,Meerut,427,343,424,377,333,386,0
5,Ortho & Spine Care Centre (Dr. Gaurav Gupta),4.7,Kanpur,252,209,345,284,306,262,145
6,Bone and Joint Clinic,4.8,Meerut,260,230,380,370,332,231,0
7,Dr Anupam Gupta,4.6,Agra,224,264,294,364,272,151,0
8,Dr. R P Yadav,4.3,Lucknow,210,185,226,236,269,130,266
9,Dr. Ashish Jain - Spine Specialist,4.6,Lucknow,208,148,101,140,152,84,0
10,Genesis Ortho Gynae Clinic ( Dr Abhisar & Dr Suman Mehla),4.8,Noida,200,124,220,158,170,212,0
11,Dr. Vipin Tyagi,4.2,Ghaziabad,226,124,195,208,184,28,112
12,"OrthoVision Clinic, Best Joint Replacement, Fracture Specialist,Orthopedic Surgeon Noida,Varicose Veins,Back Pain Doctor",4.8,Noida,185,200,241,241,162,171,0
13,Chakraverty Clinic,4.4,Varanasi,390,527,344,312,312,196,0
14,"Dr A K Sharma- Orthopaedics, Sports Injury, Joints, Shoulder and Knee surgeon in Noida",4.6,Noida,252,208,194,216,229,231,0
15,Shivendra's Ortho Clinic,4.1,Lucknow,252,254,223,203,203,183,60
16,Noida Orthopaedic Centre,4.5,Noida,560,448,528,444,500,554,334
17,Orthos The Bone & Joint Clinic,4.7,Ghaziabad,134,185,182,173,161,106,100
